packet_length,protocol_encoding,source_ip_event_rate,destination_port_class,threat_score,malicious_flag_ratio,attack_type_frequency,time_of_day_deviation,burst_rate,packet_size_variance,honeypot_interaction_count,session_duration_estimate,unique_destination_count,rolling_average_deviation,z_score_anomaly,label
281,2,1.0,2,0.1799,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
62,2,1.0,2,0.0853,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
1073,1,1.0,1,0.2139,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
309,1,1.0,2,0.0757,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
132,2,2.0,1,0.2148,0.0,2,1,2.0,11100.5,2,19072.0,2,-74.5,-0.7071067811865476,0
840,1,1.0,1,0.4193,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
271,1,1.0,2,0.0819,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
44,1,1.0,2,0.0374,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
169,1,1.0,2,0.1423,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
246,1,1.0,1,0.036,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
298,2,1.0,2,0.1959,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
450,1,1.0,1,0.0802,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
387,1,1.0,2,0.0021,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
394,1,2.0,2,0.073,0.0,2,0,2.0,24.5,2,231196.0,2,3.5,0.7071067811865476,0
251,1,1.0,2,0.0647,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
181,2,1.0,2,0.0593,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
1450,1,1.0,1,0.2226,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
138,2,1.0,2,0.0296,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
369,1,1.0,2,0.162,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
201,1,2.0,2,0.4052,1.0,1,0,2.0,851512.5,2,433448.0,1,-652.5,-0.7071067811865476,1
163,1,1.0,1,0.5417,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
276,1,1.0,2,0.0737,0.0,2,0,1.0,450.0,2,27671.0,2,-15.0,-0.7071067811865475,0
422,2,1.0,2,0.2046,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
267,2,1.0,2,0.2205,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
186,1,1.0,2,0.0327,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
130,1,1.0,1,0.7751,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
48,1,1.0,2,0.402,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
273,1,1.0,2,0.072,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
332,1,1.0,1,0.2949,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
529,1,1.0,2,0.3772,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
297,1,1.0,2,0.0303,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
282,1,1.0,2,0.076,0.0,2,1,1.0,5100.5,1,212160.0,2,50.5,0.7071067811865476,0
224,1,1.0,1,0.1674,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
346,2,1.0,2,0.2425,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
159,1,1.0,2,0.162,0.0,2,0,1.0,6612.5,1,295622.0,2,57.5,0.7071067811865475,0
460,1,1.0,2,0.0294,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
190,2,1.0,1,0.1381,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
188,2,1.0,1,0.1127,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
455,2,1.0,1,0.2036,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
424,2,1.0,1,0.173,0.0,2,0,1.0,22684.5,2,491141.0,2,106.5,0.7071067811865476,0
254,1,1.0,2,0.7155,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
93,1,1.0,1,0.7234,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
308,1,1.0,2,0.1568,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
249,1,1.0,2,0.1333,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
157,2,1.0,2,0.0807,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
400,1,1.0,2,0.2354,0.0,2,1,1.0,22050.0,2,108096.0,2,105.0,0.7071067811865475,0
455,1,1.0,1,0.0088,0.0,2,0,1.0,1512.5,2,11842.0,2,27.5,0.7071067811865475,0
50,1,1.0,2,0.5288,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
965,2,1.0,2,0.2373,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
1912,1,1.0,2,0.7676,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
207,1,1.0,1,0.4455,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
78,1,2.0,1,0.2825,0.0,2,0,2.0,1568.0,2,62923.0,1,-28.0,-0.7071067811865476,0
478,1,1.0,1,0.2544,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
345,1,1.0,2,0.6906,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
286,1,1.0,1,0.2004,0.0,2,0,1.0,677448.0,2,443832.0,2,-582.0,-0.7071067811865475,0
461,1,1.0,2,0.2978,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
274,1,1.0,2,0.0831,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
74,1,1.0,2,0.0375,0.0,2,1,1.0,2048.0,2,461015.0,1,-32.0,-0.7071067811865475,0
1335,1,1.0,1,0.2544,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
166,1,3.0,2,0.0896,0.0,3,0,3.0,16572.0,2,191107.0,3,-86.0,-0.6680531081780605,0
278,1,1.0,2,0.2464,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
3499,1,1.0,2,0.3362,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
1481,1,2.0,1,0.1897,0.0,2,0,2.0,790024.5,1,23202.0,2,628.5,0.7071067811865475,0
480,1,1.0,2,0.2728,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
1205,1,1.0,2,0.5095,1.0,2,1,1.0,235170.33333333334,3,281443.0,3,558.6666666666666,1.152023908243347,1
3154,1,1.0,1,0.6814,1.0,2,0,1.0,3445312.5,1,360.0,2,1312.5,0.7071067811865475,1
131,2,1.0,2,0.2742,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
1431,1,2.0,2,0.7589,1.0,2,0,2.0,64082.0,1,23226.0,2,179.0,0.7071067811865476,1
87,1,3.0,2,0.2748,0.0,3,0,3.0,590342.3333333334,2,104542.0,3,-510.33333333333337,-0.6642047425555525,0
302,1,1.0,1,0.1993,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
329,1,1.0,1,0.6069,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
844,2,1.0,1,0.2773,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
418,2,1.0,2,0.4459,0.0,3,0,1.0,20461.0,2,130845.0,3,141.0,0.9857248040781507,0
491,1,1.0,1,0.2257,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
436,1,2.0,2,0.0498,0.0,2,0,2.0,4050.0,2,330013.0,2,45.0,0.7071067811865475,0
482,1,1.0,2,0.0183,0.0,2,1,1.0,26680.5,2,423666.0,2,115.5,0.7071067811865475,0
219,1,3.0,1,0.3832,1.0,2,0,3.0,559953.0,2,433857.0,2,-423.0,-0.5652812487663611,1
129,1,4.0,2,0.207,1.0,3,0,3.0,439094.25,2,433857.0,3,-384.75,-0.5806303774162631,1
399,1,2.0,1,0.1752,0.0,2,0,2.0,1568.0,1,149872.0,1,-28.0,-0.7071067811865476,0
173,1,1.0,2,0.1109,0.0,2,1,1.0,9112.5,1,72228.0,2,-67.5,-0.7071067811865475,0
132,1,1.0,2,0.2248,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
180,1,3.0,1,0.4981,1.0,3,0,3.0,211146.91666666666,4,281443.0,4,-349.75,-0.7611414113698788,1
318,1,1.0,2,0.1191,0.0,2,0,1.0,14964.5,2,349225.0,2,-86.5,-0.7071067811865476,0
301,1,1.0,1,0.1655,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
394,1,1.0,2,0.0802,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
249,1,1.0,2,0.4616,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
220,2,1.0,2,0.0268,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
203,1,1.0,2,0.0488,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
351,1,1.0,1,0.3672,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
108,1,2.0,2,0.2522,0.0,2,0,2.0,17860.5,1,85799.0,2,-94.5,-0.7071067811865476,0
547,1,1.0,2,0.6586,1.0,1,0,1.0,19208.0,2,134825.0,1,98.0,0.7071067811865475,1
784,2,1.0,1,0.3066,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
136,1,1.0,2,0.1909,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
70,1,1.0,1,0.1431,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
417,1,1.0,1,0.0136,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
42,1,1.0,2,0.5386,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
413,1,1.0,1,0.0259,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
332,2,1.0,2,0.2205,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
1373,1,1.0,1,0.4508,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
263,2,1.0,2,0.1034,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
316,1,1.0,1,0.0667,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
78,1,1.0,2,0.3397,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
1789,1,2.0,1,0.3645,1.0,1,0,2.0,1462050.0,2,182205.0,2,-855.0,-0.7071067811865476,1
236,1,2.0,1,0.2251,0.0,3,1,2.0,7969.0,3,231196.0,2,-103.0,-1.1538126903584371,0
144,1,1.0,2,0.2261,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
354,2,1.0,2,0.0482,0.0,2,1,1.0,1984.5,2,321748.0,2,-31.5,-0.7071067811865476,0
1992,1,1.0,1,0.3173,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
490,1,1.0,2,0.1032,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
74,1,1.0,2,0.1275,0.0,2,0,1.0,18624.5,2,240543.0,2,-96.5,-0.7071067811865476,0
254,1,1.0,2,0.1358,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
727,1,2.0,1,0.2684,0.0,2,0,2.0,177012.5,1,226963.0,2,297.5,0.7071067811865476,0
230,1,2.0,2,0.0243,0.0,3,1,2.0,13894.333333333334,2,491141.0,3,-58.333333333333314,-0.49487776029331504,0
154,1,1.0,2,0.0068,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
358,1,1.0,1,0.2799,0.0,2,0,1.0,4418.0,2,314637.0,2,-47.0,-0.7071067811865476,0
1121,2,1.0,1,0.2835,0.0,2,0,1.0,368082.0,2,6544.0,2,429.0,0.7071067811865475,0
988,1,1.0,2,0.3485,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
331,1,1.0,1,0.2581,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
441,1,1.0,1,0.2957,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
3787,1,2.0,2,0.3655,1.0,2,1,2.0,1757812.5,2,294.0,1,937.5,0.7071067811865476,1
58,1,1.0,2,0.2062,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
61,1,1.0,2,0.2088,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
87,1,1.0,2,0.1964,0.0,3,1,1.0,13377.0,2,300217.0,3,-77.0,-0.6657502859356826,0
92,1,2.0,2,0.0088,0.0,2,0,2.0,2.0,2,209403.0,2,-1.0,-0.7071067811865475,0
233,2,2.0,1,0.1603,0.0,3,0,2.0,17286.333333333332,2,349225.0,3,-114.33333333333331,-0.8696037896343809,0
396,1,2.0,1,0.5272,1.0,1,0,2.0,32.0,1,538813.0,2,4.0,0.7071067811865475,1
117,1,1.0,1,0.2733,0.0,2,0,1.0,5304.5,2,13973.0,2,-51.5,-0.7071067811865475,0
380,1,1.0,2,0.771,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
123,1,2.0,2,0.2468,0.0,2,1,2.0,1404.5,2,156252.0,2,26.5,0.7071067811865476,0
194,2,2.0,2,0.2032,0.0,4,0,2.0,11889.0,3,191107.0,4,-43.5,-0.3989482766965944,0
101,1,3.0,2,0.5764,1.0,4,0,2.0,363393.2,2,433857.0,4,-330.2,-0.54775792637751,1
1338,2,1.0,2,0.3113,0.0,3,0,1.0,458562.3333333333,3,148349.0,3,779.6666666666666,1.151356395759823,0
512,1,2.0,1,0.4114,1.0,4,0,2.0,291802.6666666667,2,433857.0,5,67.33333333333331,0.12464804935387624,1
108,2,2.0,1,0.03,0.0,2,0,2.0,48672.0,2,57858.0,2,-156.0,-0.7071067811865476,0
1879,1,1.0,1,0.6625,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
139,1,1.0,1,0.2281,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
257,1,1.0,2,0.1283,0.0,2,0,1.0,60.5,1,275031.0,2,5.5,0.7071067811865476,0
350,1,1.0,2,0.0642,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
478,1,1.0,2,0.1311,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
128,1,3.0,1,0.0551,0.0,4,1,3.0,448630.0,2,104542.0,4,-352.0,-0.5255312037955141,0
245,1,2.0,2,0.7558,1.0,2,0,2.0,27144.5,2,5.0,2,-116.5,-0.7071067811865476,1
128,1,1.0,1,0.2857,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
309,1,1.0,1,0.1971,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
110,2,1.0,1,0.2405,0.0,3,0,1.0,10532.333333333334,3,243102.0,3,-40.33333333333334,-0.39300838639345925,0
306,2,1.0,2,0.0982,0.0,2,1,1.0,4.5,2,347649.0,2,-1.5,-0.7071067811865476,0
71,1,1.0,1,0.0188,0.0,2,0,1.0,50.0,2,284184.0,2,5.0,0.7071067811865475,0
115,2,1.0,2,0.2443,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
319,1,2.0,2,0.0004,0.0,2,0,2.0,8844.5,2,512217.0,2,66.5,0.7071067811865475,0
351,2,1.0,1,0.2931,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
295,1,1.0,1,0.0282,0.0,2,1,1.0,150700.5,1,495016.0,2,-274.5,-0.7071067811865475,0
1386,1,1.0,2,0.5918,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
211,1,2.0,2,0.2522,0.0,2,0,2.0,5512.5,1,228215.0,2,-52.5,-0.7071067811865475,0
278,1,1.0,1,0.2731,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
141,1,1.0,1,0.4396,1.0,2,0,1.0,28560.5,2,180.0,2,-119.5,-0.7071067811865476,1
500,1,1.0,1,0.1173,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
339,1,1.0,2,0.0359,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
462,1,1.0,2,0.5383,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
283,2,1.0,1,0.0339,0.0,2,0,1.0,1568.0,2,459502.0,2,-28.0,-0.7071067811865476,0
79,1,1.0,3,0.8327,1.0,1,0,1.0,98.0,2,273185.0,2,-7.0,-0.7071067811865476,1
206,1,1.0,1,0.1375,0.0,2,0,1.0,2312.0,1,114711.0,2,-34.0,-0.7071067811865476,0
99,1,2.0,2,0.0292,0.0,2,0,2.0,811538.0,2,124484.0,2,-637.0,-0.7071067811865476,0
90,1,1.0,1,0.6575,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
130,1,1.0,2,0.2961,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
957,1,1.0,1,0.5722,0.0,2,0,1.0,195938.0,2,19108.0,2,313.0,0.7071067811865476,0
273,1,2.0,2,0.0898,0.0,2,0,2.0,22260.5,1,49053.0,2,105.5,0.7071067811865475,0
261,2,1.0,2,0.2477,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
207,1,1.0,2,0.178,0.0,3,0,1.0,262449.3333333333,3,96202.0,3,-323.33333333333337,-0.6311429604175838,0
339,1,1.0,2,0.2738,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
4525,1,2.0,2,0.3248,1.0,2,0,2.0,1910412.0,2,182205.0,3,1254.0,0.9072647087265547,1
112,1,2.0,2,0.0788,0.0,2,0,2.0,364.5,2,83742.0,2,-13.5,-0.7071067811865475,0
1493,1,1.0,1,0.2049,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
462,1,2.0,2,0.0655,0.0,4,1,2.0,14811.333333333334,2,349225.0,4,86.0,0.7066451348636437,0
303,1,1.0,2,0.5139,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
40,1,1.0,2,0.2504,1.0,2,1,1.0,521689.0,2,239694.0,3,-808.0,-1.1186790913720006,1
1998,1,3.0,2,0.7468,1.0,2,0,3.0,1678740.25,3,182205.0,3,-954.75,-0.7368819445941139,1
151,1,2.0,1,0.1517,0.0,2,1,2.0,12482.0,1,486218.0,2,-79.0,-0.7071067811865475,0
145,1,2.0,2,0.432,1.0,2,0,2.0,112.5,1,288.0,2,7.5,0.7071067811865475,1
79,1,1.0,2,0.811,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
399,1,1.0,2,0.0969,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
270,1,1.0,2,0.1074,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
255,1,1.0,1,0.2996,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
240,2,1.0,1,0.1755,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
170,2,1.0,1,0.1963,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
221,2,1.0,2,0.0371,0.0,2,0,1.0,544.5,2,259565.0,2,-16.5,-0.7071067811865476,0
344,2,2.0,2,0.0488,0.0,3,0,2.0,15516.333333333334,2,419077.0,2,44.333333333333314,0.35590643126186744,0
436,2,1.0,2,0.0362,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
354,1,1.0,1,0.0508,0.0,3,0,1.0,2560.3333333333335,2,189058.0,2,-48.666666666666686,-0.9617968400242904,0
329,1,1.0,2,0.5957,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
444,1,1.0,2,0.2174,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
181,1,2.0,1,0.1021,0.0,2,0,2.0,33800.0,2,543772.0,2,-130.0,-0.7071067811865475,0
655,1,2.0,1,0.5634,1.0,1,0,2.0,80000.0,2,98450.0,2,200.0,0.7071067811865475,1
176,1,1.0,2,0.0201,0.0,2,0,1.0,40328.0,2,101314.0,2,-142.0,-0.7071067811865476,0
84,2,2.0,1,0.1609,0.0,2,0,2.0,48050.0,1,31914.0,2,-155.0,-0.7071067811865475,0
1442,1,2.0,1,0.2546,1.0,3,1,2.0,324800.2,4,281443.0,5,729.8,1.2805475661166967,1
152,1,1.0,2,0.102,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
262,2,2.0,2,0.1885,0.0,3,1,2.0,1584.3333333333333,3,459502.0,3,-32.666666666666686,-0.8206945344647693,0
1357,1,1.0,1,0.7143,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
155,1,1.0,1,0.3766,1.0,2,0,1.0,15138.0,2,313.0,2,-87.0,-0.7071067811865476,1
552,2,1.0,2,0.2189,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
110,1,2.0,1,0.2729,0.0,3,0,2.0,763.0,3,156252.0,3,9.0,0.32582187641519844,0
1556,1,1.0,1,0.6531,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
388,2,1.0,2,0.0726,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
190,1,1.0,1,0.7194,1.0,1,0,1.0,211250.0,2,159874.0,2,-325.0,-0.7071067811865475,1
283,1,2.0,2,0.0476,0.0,3,0,2.0,102711.0,2,495016.0,3,-191.0,-0.5959706720574959,0
425,2,1.0,1,0.0065,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
475,1,1.0,2,0.0473,0.0,5,0,1.0,13068.7,2,361952.0,4,79.19999999999999,0.6928017679792112,0
78,1,1.0,1,0.1101,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
332,1,3.0,2,0.5916,1.0,2,0,3.0,14167.0,2,134988.0,2,-78.0,-0.6553233696837569,1
261,1,1.0,2,0.3672,1.0,3,0,1.0,5140.333333333333,2,435.0,3,82.33333333333334,1.148365290249762,1
374,1,2.0,2,0.7579,1.0,2,0,2.0,124.0,2,538813.0,3,-12.0,-1.0776318121606494,1
861,1,2.0,1,0.6378,1.0,2,1,2.0,123008.0,1,206.0,2,-248.0,-0.7071067811865476,1
377,1,3.0,2,0.7191,1.0,4,0,3.0,13260.916666666666,2,435.0,3,148.75,1.291725405904787,1
115,1,2.0,2,0.0126,0.0,2,0,2.0,1458.0,2,368153.0,1,-27.0,-0.7071067811865475,0
181,1,1.0,2,0.2975,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
891,1,1.0,2,0.7904,1.0,1,0,1.0,206082.0,2,131577.0,1,321.0,0.7071067811865475,1
361,1,1.0,2,0.0778,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
1145,1,2.0,2,0.1907,0.0,2,0,2.0,261364.5,2,69573.0,2,361.5,0.7071067811865476,0
1667,1,1.0,2,0.7555,1.0,2,0,1.0,404456.9166666667,2,135152.0,3,942.75,1.4823829381082307,1
1062,1,2.0,1,0.4598,1.0,2,0,1.0,183729.0,2,131606.0,1,328.0,0.7652176666711994,1
330,1,6.0,1,0.2369,1.0,4,0,6.0,284186.3,4,281453.0,6,-318.5,-0.5974586700789881,1
185,1,1.0,1,0.3314,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
474,2,2.0,2,0.2005,0.0,2,0,2.0,7564.5,1,259945.0,2,61.5,0.7071067811865475,0
1835,1,2.0,1,0.5689,1.0,1,0,2.0,1607424.5,1,174813.0,2,896.5,0.7071067811865476,1
223,1,1.0,1,0.2778,0.0,2,0,1.0,1512.5,2,98501.0,2,-27.5,-0.7071067811865475,0
247,1,1.0,2,0.0154,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
1120,1,1.0,1,0.5244,1.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,1
138,1,2.0,2,0.2489,0.0,3,0,2.0,516357.3333333333,2,443832.0,3,-486.66666666666663,-0.6772615596897267,0
340,2,1.0,1,0.2064,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
712,1,1.0,1,0.4328,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
351,1,2.0,2,0.3483,1.0,2,1,2.0,18.0,2,235.0,2,3.0,0.7071067811865476,1
443,1,1.0,1,0.1893,0.0,3,0,1.0,35016.333333333336,2,309736.0,2,119.33333333333331,0.6377147146202036,0
358,2,2.0,2,0.1492,0.0,2,0,2.0,3200.0,2,203909.0,2,40.0,0.7071067811865475,0
63,1,1.0,2,0.1085,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
478,1,1.0,2,0.1454,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
303,1,1.0,1,0.1895,0.0,2,0,1.0,1404.5,2,333458.0,2,-26.5,-0.7071067811865476,0
321,1,1.0,2,0.0992,0.0,3,0,1.0,132745.33333333334,2,227676.0,3,-215.33333333333337,-0.5910192576624261,0
301,1,4.0,2,0.1988,0.0,4,1,4.0,102342.33333333333,3,314524.0,3,-176.5,-0.5517178721247705,0
257,1,3.0,2,0.0451,0.0,3,0,3.0,21404.333333333332,2,163679.0,3,-40.666666666666686,-0.2779634690290624,0
223,1,2.0,1,0.7248,1.0,3,1,2.0,5217.333333333333,2,235.0,3,-83.33333333333331,-1.1537041682240265,1
152,1,1.0,1,0.4531,1.0,2,0,1.0,544.5,2,91.0,2,-16.5,-0.7071067811865476,1
315,1,1.0,1,0.0735,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
1418,1,1.0,2,0.1732,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
